Term;Main Term;Main Term URI
hindocellus;lateral ocellus;http://purl.obolibrary.org/obo/HAO_0000481
posterior ocellus;lateral ocellus;http://purl.obolibrary.org/obo/HAO_0000481
lateral profurco-procoxal muscle;lateral profurco-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000482
lateral pronotal area;lateral pronotal area;http://purl.obolibrary.org/obo/HAO_0000483
lateral propleural area;lateral propleural area;http://purl.obolibrary.org/obo/HAO_0000484
lateral propodeal area;lateral propodeal area;http://purl.obolibrary.org/obo/HAO_0000485
submedian area;lateral propodeal area;http://purl.obolibrary.org/obo/HAO_0000485
lateral propodeal carina;lateral propodeal carina;http://purl.obolibrary.org/obo/HAO_0000486
costula;lateral propodeal carina;http://purl.obolibrary.org/obo/HAO_0000486
lateral scutellar keel;lateral scutellar keel;http://purl.obolibrary.org/obo/HAO_0000487
lateral scutellar pit;lateral scutellar pit;http://purl.obolibrary.org/obo/HAO_0000488
lateral suspensor of the mouth;lateral suspensor of the mouth;http://purl.obolibrary.org/obo/HAO_0000489
tentorio-sitophoral muscle;lateral suspensor of the mouth;http://purl.obolibrary.org/obo/HAO_0000489
laterocervico-procoxal muscle;laterocervico-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000490
cv-cx1;laterocervico-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000490
laterocervico-procoxal;laterocervico-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000490
laterope;laterope;http://purl.obolibrary.org/obo/HAO_0000491
laterophragma;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
accessory sclerite of 4th axillary sclerite;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
lateral lobe of secondary phragma;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
lateropostnotum;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
mesopostnotal apodeme;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
muscle bearing process of mesopostphragma;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
postalar bridge;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
postalare;laterophragma;http://purl.obolibrary.org/obo/HAO_0000492
laterotergite;laterotergite;http://purl.obolibrary.org/obo/HAO_0000493
paratergite;laterotergite;http://purl.obolibrary.org/obo/HAO_0000493
leg;leg;http://purl.obolibrary.org/obo/HAO_0000494
leg segment;leg segment;http://purl.obolibrary.org/obo/HAO_0000495
ligula;ligula;http://purl.obolibrary.org/obo/HAO_0000496
tongue;ligula;http://purl.obolibrary.org/obo/HAO_0000496
longitudinal carina of the propleuron;longitudinal carina of the propleuron;http://purl.obolibrary.org/obo/HAO_0000497
longitudinal carina of propleuron;longitudinal carina of the propleuron;http://purl.obolibrary.org/obo/HAO_0000497
propleural carina;longitudinal carina of the propleuron;http://purl.obolibrary.org/obo/HAO_0000497
longitudinal line of the dorsal profurcal lamella;longitudinal line of the dorsal profurcal lamella;http://purl.obolibrary.org/obo/HAO_0000498
longitudinal metacoxal carina;longitudinal metacoxal carina;http://purl.obolibrary.org/obo/HAO_0000499
longitudinal muscle of the sucking pump;longitudinal muscle of the sucking pump;http://purl.obolibrary.org/obo/HAO_0000500
longitudinal muscle;longitudinal muscle of the sucking pump;http://purl.obolibrary.org/obo/HAO_0000500
pharyngo-epipharyngeal muscle;longitudinal muscle of the sucking pump;http://purl.obolibrary.org/obo/HAO_0000500
longitudinal vein;longitudinal vein;http://purl.obolibrary.org/obo/HAO_0000501
lower face;lower face;http://purl.obolibrary.org/obo/HAO_0000502
face;lower face;http://purl.obolibrary.org/obo/HAO_0000502
malar line;malar line;http://purl.obolibrary.org/obo/HAO_0000503
malar distance;malar line;http://purl.obolibrary.org/obo/HAO_0000503
malar space;malar line;http://purl.obolibrary.org/obo/HAO_0000503
malar sulcus;malar sulcus;http://purl.obolibrary.org/obo/HAO_0000504
frontogenal suture;malar sulcus;http://purl.obolibrary.org/obo/HAO_0000504
genal sulcus;malar sulcus;http://purl.obolibrary.org/obo/HAO_0000504
malar groove;malar sulcus;http://purl.obolibrary.org/obo/HAO_0000504
subocular groove;malar sulcus;http://purl.obolibrary.org/obo/HAO_0000504
subocular sulcus;malar sulcus;http://purl.obolibrary.org/obo/HAO_0000504
male genitalia;male genitalia;http://purl.obolibrary.org/obo/HAO_0000505
mandible;mandible;http://purl.obolibrary.org/obo/HAO_0000506
mandibular adductor muscle apodeme;mandibular adductor muscle apodeme;http://purl.obolibrary.org/obo/HAO_0000507
mandibular condyle;mandibular condyle;http://purl.obolibrary.org/obo/HAO_0000508
mandibular gland;mandibular gland;http://purl.obolibrary.org/obo/HAO_0000509
margin;margin;http://purl.obolibrary.org/obo/HAO_0000510
marginal cilia;marginal cilia;http://purl.obolibrary.org/obo/HAO_0000511
marginal setae;marginal cilia;http://purl.obolibrary.org/obo/HAO_0000511
marginal vein;marginal vein;http://purl.obolibrary.org/obo/HAO_0000512
marginalis;marginal vein;http://purl.obolibrary.org/obo/HAO_0000512
maxilla;maxilla;http://purl.obolibrary.org/obo/HAO_0000513
maxillary gland;maxillary gland;http://purl.obolibrary.org/obo/HAO_0000514
maxillary palp;maxillary palp;http://purl.obolibrary.org/obo/HAO_0000515
maxillary palpus;maxillary palp;http://purl.obolibrary.org/obo/HAO_0000515
palpus maxillaris;maxillary palp;http://purl.obolibrary.org/obo/HAO_0000515
medial 9th sterno-cupulal muscle;medial 9th sterno-cupulal muscle;http://purl.obolibrary.org/obo/HAO_0000516
muscle 1;medial 9th sterno-cupulal muscle;http://purl.obolibrary.org/obo/HAO_0000516
muscle a;medial 9th sterno-cupulal muscle;http://purl.obolibrary.org/obo/HAO_0000516
gonostyle/volsella complex-gonossiculus muscle;gonostyle/volsella complex-gonossiculus muscle;http://purl.obolibrary.org/obo/HAO_0000517
medial intrinsic muscle of the volsella;gonostyle/volsella complex-gonossiculus muscle;http://purl.obolibrary.org/obo/HAO_0000517
muscle s;gonostyle/volsella complex-gonossiculus muscle;http://purl.obolibrary.org/obo/HAO_0000517
medial propodeal furrow;medial propodeal furrow;http://purl.obolibrary.org/obo/HAO_0000518
medial vein;medial vein;http://purl.obolibrary.org/obo/HAO_0000519
media;medial vein;http://purl.obolibrary.org/obo/HAO_0000519
medius;medial vein;http://purl.obolibrary.org/obo/HAO_0000519
median area of the mesoscutum;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
medial lobe of mesoscutum;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
median mesonotal lobe;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
median mesoscutal lobe;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
mesopraescutum;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
mesoscutal midlobe;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
midlobe;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
midlobe of mesoscutum;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
prescutum;median area of the mesoscutum;http://purl.obolibrary.org/obo/HAO_0000520
median mesofurco-mesotrochanteral muscle;median mesofurco-mesotrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000521
fu2m-tr2;median mesofurco-mesotrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000521
median mesofurco-mesotrochanteral;median mesofurco-mesotrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000521
median mesoscutal line;median mesoscutal line;http://purl.obolibrary.org/obo/HAO_0000522
median mesoscutal sulcus;median mesoscutal sulcus;http://purl.obolibrary.org/obo/HAO_0000523
median metapleuro-metacoxal muscle;median metapleuro-metacoxal muscle;http://purl.obolibrary.org/obo/HAO_0000524
median metapleuro-metacoxal;median metapleuro-metacoxal muscle;http://purl.obolibrary.org/obo/HAO_0000524
pl3m-cx3;median metapleuro-metacoxal muscle;http://purl.obolibrary.org/obo/HAO_0000524
median oblique line;median oblique line;http://purl.obolibrary.org/obo/HAO_0000525
median ocellus;median ocellus;http://purl.obolibrary.org/obo/HAO_0000526
anterior ocellus;median ocellus;http://purl.obolibrary.org/obo/HAO_0000526
medial ocellus;median ocellus;http://purl.obolibrary.org/obo/HAO_0000526
median plate;median plate;http://purl.obolibrary.org/obo/HAO_0000527
median profurco-procoxal muscle;median profurco-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000528
fu1m-cx1;median profurco-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000528
median profurco-procoxal;median profurco-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000528
median propodeal carina;median propodeal carina;http://purl.obolibrary.org/obo/HAO_0000529
median carina;median propodeal carina;http://purl.obolibrary.org/obo/HAO_0000529
median longitudinal keel;median propodeal carina;http://purl.obolibrary.org/obo/HAO_0000529
median propodeal keel;median propodeal carina;http://purl.obolibrary.org/obo/HAO_0000529
median propodeal keel;median propodeal keel;http://purl.obolibrary.org/obo/HAO_0000530
median sclerotized style;median sclerotized style;http://purl.obolibrary.org/obo/HAO_0000531
median sulcus of postgenal bridge;median sulcus of postgenal bridge;http://purl.obolibrary.org/obo/HAO_0000532
mediolateral S9-cupulal muscle;mediolateral S9-cupulal muscle;http://purl.obolibrary.org/obo/HAO_0000533
mediolateral 9th sterno-cupulal muscle;mediolateral S9-cupulal muscle;http://purl.obolibrary.org/obo/HAO_0000533
muscle 2;mediolateral S9-cupulal muscle;http://purl.obolibrary.org/obo/HAO_0000533
muscle b;mediolateral S9-cupulal muscle;http://purl.obolibrary.org/obo/HAO_0000533
mentum;mentum;http://purl.obolibrary.org/obo/HAO_0000534
meron;meron;http://purl.obolibrary.org/obo/HAO_0000535
mesepimeral inflection;mesepimeral inflection;http://purl.obolibrary.org/obo/HAO_0000536
mesepimeral ridge;mesepimeral ridge;http://purl.obolibrary.org/obo/HAO_0000537
mesopleural ridge;mesepimeral ridge;http://purl.obolibrary.org/obo/HAO_0000537
posterior mesepimeral apodeme;mesepimeral ridge;http://purl.obolibrary.org/obo/HAO_0000537
mesepimeral sulcus;mesepimeral sulcus;http://purl.obolibrary.org/obo/HAO_0000538
mesepimeron;mesepimeron;http://purl.obolibrary.org/obo/HAO_0000539
mesepisternal groove;mesepisternal groove;http://purl.obolibrary.org/obo/HAO_0000540
mesepisternum;mesepisternum;http://purl.obolibrary.org/obo/HAO_0000541
mesobasalare;mesobasalare;http://purl.obolibrary.org/obo/HAO_0000542
mesocoxal depression;mesocoxal depression;http://purl.obolibrary.org/obo/HAO_0000543
epimeral sclerite;mesocoxal depression;http://purl.obolibrary.org/obo/HAO_0000543
mesotrochantinal plate;mesocoxal depression;http://purl.obolibrary.org/obo/HAO_0000543
mesocoxo-mesosubalar muscle;mesocoxo-mesosubalar muscle;http://purl.obolibrary.org/obo/HAO_0000544
cx2-sa2;mesocoxo-mesosubalar muscle;http://purl.obolibrary.org/obo/HAO_0000544
mesocoxo-mesosubalar;mesocoxo-mesosubalar muscle;http://purl.obolibrary.org/obo/HAO_0000544
mesodiscrimen;mesodiscrimen;http://purl.obolibrary.org/obo/HAO_0000545
discrimen;mesodiscrimen;http://purl.obolibrary.org/obo/HAO_0000545
mesolcus;mesodiscrimen;http://purl.obolibrary.org/obo/HAO_0000545
mesodiscrimenal lamella;mesodiscrimenal lamella;http://purl.obolibrary.org/obo/HAO_0000546
mesofurca;mesofurca;http://purl.obolibrary.org/obo/HAO_0000547
mesofurcal bridge;mesofurcal bridge;http://purl.obolibrary.org/obo/HAO_0000548
arch of the furca;mesofurcal bridge;http://purl.obolibrary.org/obo/HAO_0000548
mesofurcal ring;mesofurcal bridge;http://purl.obolibrary.org/obo/HAO_0000548
supraneural bridge;mesofurcal bridge;http://purl.obolibrary.org/obo/HAO_0000548
tendinous arch of the mesofurca;mesofurcal bridge;http://purl.obolibrary.org/obo/HAO_0000548
mesofurcal pit;mesofurcal pit;http://purl.obolibrary.org/obo/HAO_0000549
mesofurco-mesocoxal muscle;mesofurco-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000550
fu2-cx2;mesofurco-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000550
mesofurco-mesocoxal;mesofurco-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000550
mesofurco-mesolaterophragmal muscle;mesofurco-mesolaterophragmal muscle;http://purl.obolibrary.org/obo/HAO_0000551
mesofurco-metabasalar muscle;mesofurco-metabasalar muscle;http://purl.obolibrary.org/obo/HAO_0000552
fu2-ba3;mesofurco-metabasalar muscle;http://purl.obolibrary.org/obo/HAO_0000552
furcal-basalare muscle;mesofurco-metabasalar muscle;http://purl.obolibrary.org/obo/HAO_0000552
mesofurco-metabasalar;mesofurco-metabasalar muscle;http://purl.obolibrary.org/obo/HAO_0000552
mesometapleural sulcus;mesometapleural sulcus;http://purl.obolibrary.org/obo/HAO_0000553
mesometapleural suture;mesometapleural suture;http://purl.obolibrary.org/obo/HAO_0000554
mesometapleuron;mesometapleuron;http://purl.obolibrary.org/obo/HAO_0000555
mesonotum;mesonotum;http://purl.obolibrary.org/obo/HAO_0000556
mesopectus;mesopectus;http://purl.obolibrary.org/obo/HAO_0000557
mesophragma;mesophragma;http://purl.obolibrary.org/obo/HAO_0000558
second phragma;mesophragma;http://purl.obolibrary.org/obo/HAO_0000558
mesopleural carina;mesopleural carina;http://purl.obolibrary.org/obo/HAO_0000559
sternaulus;mesopleural carina;http://purl.obolibrary.org/obo/HAO_0000559
mesopleural epicoxal sulcus;mesopleural epicoxal sulcus;http://purl.obolibrary.org/obo/HAO_0000560
mesopleural pit;mesopleural pit;http://purl.obolibrary.org/obo/HAO_0000561
scrobe;mesopleural pit;http://purl.obolibrary.org/obo/HAO_0000561
mesopleural triangle;mesopleural triangle;http://purl.obolibrary.org/obo/HAO_0000562
anterior upper area of mesopleuron;mesopleural triangle;http://purl.obolibrary.org/obo/HAO_0000562
subalar triangle;mesopleural triangle;http://purl.obolibrary.org/obo/HAO_0000562
mesopleuro-mesobasalar muscle;mesopleuro-mesobasalar muscle;http://purl.obolibrary.org/obo/HAO_0000563
mesopleuro-mesobasalar;mesopleuro-mesobasalar muscle;http://purl.obolibrary.org/obo/HAO_0000563
pl2-ba2;mesopleuro-mesobasalar muscle;http://purl.obolibrary.org/obo/HAO_0000563
mesopleuro-mesocoxal muscle;mesopleuro-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000564
mesopleuro-mesocoxal;mesopleuro-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000564
pl2-cx2;mesopleuro-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000564
mesopleuro-third axillary sclerite of hind wing muscle;mesopleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0000565
mesopleuro-third axillary sclerite of hind wing;mesopleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0000565
pl2-3ax2;mesopleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0000565
pl2-3ax2bc;mesopleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0000565
mesopleuron;mesopleuron;http://purl.obolibrary.org/obo/HAO_0000566
mesopleurum;mesopleuron;http://purl.obolibrary.org/obo/HAO_0000566
mesopostnotum;mesopostnotum;http://purl.obolibrary.org/obo/HAO_0000567
mesopostscutellum;mesopostscutellum;http://purl.obolibrary.org/obo/HAO_0000568
mesoscutellar appendage;mesopostscutellum;http://purl.obolibrary.org/obo/HAO_0000568
mesoscutal humeral sulcus;mesoscutal humeral sulcus;http://purl.obolibrary.org/obo/HAO_0000569
humeral sulcus;mesoscutal humeral sulcus;http://purl.obolibrary.org/obo/HAO_0000569
parascutal impression;mesoscutal humeral sulcus;http://purl.obolibrary.org/obo/HAO_0000569
parascutal sulcus;mesoscutal humeral sulcus;http://purl.obolibrary.org/obo/HAO_0000569
mesoscutal suprahumeral sulcus;mesoscutal suprahumeral sulcus;http://purl.obolibrary.org/obo/HAO_0000570
suprahumeral sulcus;mesoscutal suprahumeral sulcus;http://purl.obolibrary.org/obo/HAO_0000570
mesoscutellar appendage;mesoscutellar appendage;http://purl.obolibrary.org/obo/HAO_0000571
mesoscutellar-axillar complex;mesoscutellar-axillar complex;http://purl.obolibrary.org/obo/HAO_0000572
scutellar-axillar complex;mesoscutellar-axillar complex;http://purl.obolibrary.org/obo/HAO_0000572
scutellum;mesoscutellar-axillar complex;http://purl.obolibrary.org/obo/HAO_0000572
mesoscutello-metanotal muscle;mesoscutello-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0000573
mesonoto-metanotal muscle;mesoscutello-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0000573
mesoscutellum;mesoscutellum;http://purl.obolibrary.org/obo/HAO_0000574
scutellum;mesoscutellum;http://purl.obolibrary.org/obo/HAO_0000574
mesoscutum;mesoscutum;http://purl.obolibrary.org/obo/HAO_0000575
scutum;mesoscutum;http://purl.obolibrary.org/obo/HAO_0000575
mesosoma;mesosoma;http://purl.obolibrary.org/obo/HAO_0000576
alitrunk;mesosoma;http://purl.obolibrary.org/obo/HAO_0000576
thoracic trunk;mesosoma;http://purl.obolibrary.org/obo/HAO_0000576
thorax;mesosoma;http://purl.obolibrary.org/obo/HAO_0000576
trunk;mesosoma;http://purl.obolibrary.org/obo/HAO_0000576
mesospinasterno-metafurcal muscle;mesospinasterno-metafurcal muscle;http://purl.obolibrary.org/obo/HAO_0000577
mesospinasterno-metafurcal;mesospinasterno-metafurcal muscle;http://purl.obolibrary.org/obo/HAO_0000577
sps2-fu3;mesospinasterno-metafurcal muscle;http://purl.obolibrary.org/obo/HAO_0000577
mesosterno-mesocoxal muscle;mesosterno-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000578
mesosterno-mesocoxal;mesosterno-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000578
s2-cx2;mesosterno-mesocoxal muscle;http://purl.obolibrary.org/obo/HAO_0000578
mesosterno-procoxal muscle;mesosterno-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000579
prospinasterno-procoxal muscle;mesosterno-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0000579
mesosternum;mesosternum;http://purl.obolibrary.org/obo/HAO_0000580
mesosubalare;mesosubalare;http://purl.obolibrary.org/obo/HAO_0000581
anterior thoracic spiracle;anterior thoracic spiracle;http://purl.obolibrary.org/obo/HAO_0000582
first thoracic spiracle;anterior thoracic spiracle;http://purl.obolibrary.org/obo/HAO_0000582
mesothoracic spiracle;anterior thoracic spiracle;http://purl.obolibrary.org/obo/HAO_0000582
prothoracic spiracle;anterior thoracic spiracle;http://purl.obolibrary.org/obo/HAO_0000582
mesothorax;mesothorax;http://purl.obolibrary.org/obo/HAO_0000583
mesotrochantin;mesotrochantin;http://purl.obolibrary.org/obo/HAO_0000584
mesotrochantinal plate;mesotrochantinal plate;http://purl.obolibrary.org/obo/HAO_0000585
metabasalare;metabasalare;http://purl.obolibrary.org/obo/HAO_0000586
metacoxa;metacoxa;http://purl.obolibrary.org/obo/HAO_0000587
hind coxa;metacoxa;http://purl.obolibrary.org/obo/HAO_0000587
hindcoxa;metacoxa;http://purl.obolibrary.org/obo/HAO_0000587
metacoxal depression;metacoxal depression;http://purl.obolibrary.org/obo/HAO_0000588
metacoxo-metasubalar muscle;metacoxo-metasubalar muscle;http://purl.obolibrary.org/obo/HAO_0000589
cx3-sa3;metacoxo-metasubalar muscle;http://purl.obolibrary.org/obo/HAO_0000589
metacoxo-metasubalar;metacoxo-metasubalar muscle;http://purl.obolibrary.org/obo/HAO_0000589
metadiscrimen;metadiscrimen;http://purl.obolibrary.org/obo/HAO_0000590
metadiscrimenal lamella;metadiscrimenal lamella;http://purl.obolibrary.org/obo/HAO_0000591
metafurca;metafurca;http://purl.obolibrary.org/obo/HAO_0000592
metafurcal arm;metafurcal arm;http://purl.obolibrary.org/obo/HAO_0000593
metafurcal pit;metafurcal pit;http://purl.obolibrary.org/obo/HAO_0000594
metafurco-mesofurcal;metafurco-mesofurcal;http://purl.obolibrary.org/obo/HAO_0000595
metafurco-metacoxal muscle;metafurco-metacoxal muscle;http://purl.obolibrary.org/obo/HAO_0000596
metafurco-metatrochanteral muscle;metafurco-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000597
fu3-tr3;metafurco-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000597
metafurco-metatrochanteral;metafurco-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000597
metafurco-second abdominal sternal muscle;metafurco-second abdominal sternal muscle;http://purl.obolibrary.org/obo/HAO_0000598
fu3-S2;metafurco-second abdominal sternal muscle;http://purl.obolibrary.org/obo/HAO_0000598
metafurco-second abdominal sternal;metafurco-second abdominal sternal muscle;http://purl.obolibrary.org/obo/HAO_0000598
metanotal spine;metanotal spine;http://purl.obolibrary.org/obo/HAO_0000599
metanotal trough;metanotal trough;http://purl.obolibrary.org/obo/HAO_0000600
axillary trough;metanotal trough;http://purl.obolibrary.org/obo/HAO_0000600
lateral panel of metanotum;metanotal trough;http://purl.obolibrary.org/obo/HAO_0000600
lateral wing of metanotum;metanotal trough;http://purl.obolibrary.org/obo/HAO_0000600
metascutellar trough;metanotal trough;http://purl.obolibrary.org/obo/HAO_0000600
metanotal-propodeal sulcus;metanotal-propodeal sulcus;http://purl.obolibrary.org/obo/HAO_0000601
foveole métanotale;metanotal-propodeal sulcus;http://purl.obolibrary.org/obo/HAO_0000601
sillon metanotal;metanotal-propodeal sulcus;http://purl.obolibrary.org/obo/HAO_0000601
metanoto-metatrochanteral muscle;metanoto-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000602
metanoto-metatrochanteral;metanoto-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000602
t3-tr3;metanoto-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000602
metanotum;metanotum;http://purl.obolibrary.org/obo/HAO_0000603
metapectal-propodeal complex;metapectal-propodeal complex;http://purl.obolibrary.org/obo/HAO_0000604
metapectus;metapectus;http://purl.obolibrary.org/obo/HAO_0000605
metaphragma;metaphragma;http://purl.obolibrary.org/obo/HAO_0000606
third phragma;metaphragma;http://purl.obolibrary.org/obo/HAO_0000606
metapleural apodeme;metapleural apodeme;http://purl.obolibrary.org/obo/HAO_0000607
metapleural arm;metapleural arm;http://purl.obolibrary.org/obo/HAO_0000608
metapleural carina;metapleural carina;http://purl.obolibrary.org/obo/HAO_0000609
pleural carina;metapleural carina;http://purl.obolibrary.org/obo/HAO_0000609
metapleural epicoxal carina;metapleural epicoxal carina;http://purl.obolibrary.org/obo/HAO_0000610
metapleural epicoxal sulcus;metapleural epicoxal sulcus;http://purl.obolibrary.org/obo/HAO_0000611
metapleural pit;metapleural pit;http://purl.obolibrary.org/obo/HAO_0000612
metapleural ridge;metapleural ridge;http://purl.obolibrary.org/obo/HAO_0000613
metapleural sulcus;metapleural sulcus;http://purl.obolibrary.org/obo/HAO_0000614
metapleural-propodeal suture;metapleural sulcus;http://purl.obolibrary.org/obo/HAO_0000614
metapleural triangle;metapleural triangle;http://purl.obolibrary.org/obo/HAO_0000615
metapleuro-metabasalar muscle;metapleuro-metabasalar muscle;http://purl.obolibrary.org/obo/HAO_0000616
pl3-ba3;metapleuro-metabasalar muscle;http://purl.obolibrary.org/obo/HAO_0000616
metapleuro-metanotal muscle;metapleuro-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0000617
metapleuro-metasubalar muscle;metapleuro-metasubalar muscle;http://purl.obolibrary.org/obo/HAO_0000618
metapleuro-metasubalar;metapleuro-metasubalar muscle;http://purl.obolibrary.org/obo/HAO_0000618
pl3-sa3;metapleuro-metasubalar muscle;http://purl.obolibrary.org/obo/HAO_0000618
metapleuro-metatrochanteral muscle;metapleuro-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000619
metapleuro-metatrochanteral;metapleuro-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000619
pl3-tr3;metapleuro-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0000619
metapleuro-third axillary sclerite of hind wing muscle;metapleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0000620
pl3-3ax3;metapleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0000620
pl3dv-3ax3;metapleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0000620
metapleuron;metapleuron;http://purl.obolibrary.org/obo/HAO_0000621
metapostnotum;metapostnotum;http://purl.obolibrary.org/obo/HAO_0000622
metascutellar arm;metascutellar arm;http://purl.obolibrary.org/obo/HAO_0000623
posterior bar of metascutellum;metascutellar arm;http://purl.obolibrary.org/obo/HAO_0000623
metascutellar carina;metascutellar carina;http://purl.obolibrary.org/obo/HAO_0000624
metascutellum;metascutellum;http://purl.obolibrary.org/obo/HAO_0000625
dorsellum;metascutellum;http://purl.obolibrary.org/obo/HAO_0000625
metanotal plate;metascutellum;http://purl.obolibrary.org/obo/HAO_0000625
metascutellar disc;metascutellum;http://purl.obolibrary.org/obo/HAO_0000625
postscutellum;metascutellum;http://purl.obolibrary.org/obo/HAO_0000625
metasoma;metasoma;http://purl.obolibrary.org/obo/HAO_0000626
metasomal depression;metasomal depression;http://purl.obolibrary.org/obo/HAO_0000627
nuchal area;metasomal depression;http://purl.obolibrary.org/obo/HAO_0000627
metasternum;metasternum;http://purl.obolibrary.org/obo/HAO_0000628
metasubalare;metasubalare;http://purl.obolibrary.org/obo/HAO_0000629
metathorax;metathorax;http://purl.obolibrary.org/obo/HAO_0000630
metatibia;metatibia;http://purl.obolibrary.org/obo/HAO_0000631
hind tibia;metatibia;http://purl.obolibrary.org/obo/HAO_0000631
hindtibia;metatibia;http://purl.obolibrary.org/obo/HAO_0000631
metepimeron;metepimeron;http://purl.obolibrary.org/obo/HAO_0000632
metepisternal depression;metepisternal depression;http://purl.obolibrary.org/obo/HAO_0000633
metasternal shelf;metepisternal depression;http://purl.obolibrary.org/obo/HAO_0000633
metepisternum;metepisternum;http://purl.obolibrary.org/obo/HAO_0000634
mid coxa;mid coxa;http://purl.obolibrary.org/obo/HAO_0000635
mesocoxa;mid coxa;http://purl.obolibrary.org/obo/HAO_0000635
midcoxa;mid coxa;http://purl.obolibrary.org/obo/HAO_0000635
mid leg;mid leg;http://purl.obolibrary.org/obo/HAO_0000636
mesoleg;mid leg;http://purl.obolibrary.org/obo/HAO_0000636
midleg;mid leg;http://purl.obolibrary.org/obo/HAO_0000636
midpit;midpit;http://purl.obolibrary.org/obo/HAO_0000637
medio-posterior mesoscutal depression;midpit;http://purl.obolibrary.org/obo/HAO_0000637
monocondylic joint;monocondylic joint;http://purl.obolibrary.org/obo/HAO_0000638
mouthparts;mouthparts;http://purl.obolibrary.org/obo/HAO_0000639
multiporous plate sensillum;multiporous plate sensillum;http://purl.obolibrary.org/obo/HAO_0000640
pore plates;multiporous plate sensillum;http://purl.obolibrary.org/obo/HAO_0000640
rhinaria;multiporous plate sensillum;http://purl.obolibrary.org/obo/HAO_0000640
sensillum placoideum;multiporous plate sensillum;http://purl.obolibrary.org/obo/HAO_0000640
muscle;muscle;http://purl.obolibrary.org/obo/HAO_0000641
muscle bearing process of the metanotum;muscle bearing process of the metanotum;http://purl.obolibrary.org/obo/HAO_0000642
musculus retractor unguis;musculus retractor unguis;http://purl.obolibrary.org/obo/HAO_0000643
flexor of the pretarsal claws;musculus retractor unguis;http://purl.obolibrary.org/obo/HAO_0000643
netrion;netrion;http://purl.obolibrary.org/obo/HAO_0000644
netrion apodeme;netrion apodeme;http://purl.obolibrary.org/obo/HAO_0000645
